trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,Ref Number,comment_txt
10,CHEM,422,A,INORGANIC SYNTHESIS LABORATORY,2,,T,,R,,2:30:00 PM,5:30:00 PM,Kriley,168,CH 231242; COREQ 431 LAB FEE
10,CHEM,431,A,ADV INORG/ORGANOMETALLIC  CHEMISTRY,2,M,,W,,,9:00:00 AM,9:50:00 AM,Kriley,169,CHEM 231 AND CHEM 342 or 345
10,CHEM,441,A,CRYSTAL STRUCTURE ANALYSIS,2,,,W,,,1:00:00 PM,2:59:00 PM,Kriley,170,CHEM 231
10,CHEM,451,A,BIOCHEMISTRY: DATA AND ANALYSIS,3,,T,,R,,11:30:00 AM,12:45:00 PM,Shaw,171,CHEM 352
30,CHEM,453,A,ADVANCED MOLECULAR SPECTROSCOPY,2,,T,,R,,8:00:00 AM,9:15:00 AM,Guevara,172,CHEM 242
30,CHEM,458,A,ADVANCED SYNTHESIS LABORATORY,2,M,,W,,,1:00:00 PM,3:59:00 PM,Guevara,173,LAB FEE CHEM 242
10,CHEM,463,A,POLYMER CHEMISTRY,2,,T,,R,,8:15:00 AM,9:05:00 AM,Cramer,174,CHEM 242
30,CHEM,466,A,ADV ORGANIC CHEM,2,,T,,R,,10:05:00 AM,10:55:00 AM,Homan,175,CHEM 242
30,CHEM,487,A,BIOCHEMISTRY SEMINAR,1,,,,,F,1:00:00 PM,1:50:00 PM,Shaw,176,SR STATUS - BIOC MAJORS ONLY
30,CHEM,487,B,BIOCHEMISTRY SEMINAR,1,,,,,F,2:00:00 PM,2:50:00 PM,Shaw,177,SR STATUS - BIOC MAJORS ONLY
10,CHEM,488,A,CHEMISTRY SEMINAR,1,,,,,F,2:00:00 PM,2:50:00 PM,Falcetta,178,SR STATUS; CHEM MAJORS ONLY
10,CMIN,122,A,INTRO TO CHRISTIAN MINISTRIES,3,M,,W,,,12:30:00 PM,1:45:00 PM,Robbins,179,
30,CMIN,228,A,CHRIST AND CULTURE,3,M,,W,,,8:35:00 AM,9:50:00 AM,Robbins,180,
10,CMIN,238,A,SPIRITUAL FORMATION,3,M,,W,,F,10:00:00 AM,10:50:00 AM,Shepson,181,
30,CMIN,238,A,SPIRITUAL FORMATION,3,M,,W,,F,9:00:00 AM,9:50:00 AM,Shepson,182,
30,CMIN,248,A,DISCIPLESHIP AND EVANGELISM,3,,T,,R,,4:00:00 PM,5:15:00 PM,Shepson,183,
10,CMIN,258,A,COMMUNICATING THE GOSPEL,3,M,,W,,,8:35:00 AM,9:50:00 AM,Robbins,184,
30,CMIN,321,A,LEADERSHIP/MINISTRY ADMINISTRATION,3,M,,W,,,11:00:00 AM,12:15:00 PM,Robbins,185,
30,CMIN,361,A,WORSHIP AND PRAYER MINISTRY,3,M,,W,,F,2:00:00 PM,2:50:00 PM,Shepson,186,
10,CMIN,412,A,BIBLICAL COUNSELING,3,M,,W,,F,2:00:00 PM,2:50:00 PM,Shepson,187,
10,COMM,104,A,PUBLIC SPEAKING & RHETORIC,3,M,,W,,F,3:00:00 PM,3:50:00 PM,Pritchard,188,COMM Major
